Site_Latitude,Site_Longitude,Site_Soil_Sand_Percentage,Site_Soil_Silt_Percentage,Site_Soil_Clay_Percentage,Site_Precipitation_mm,Site_Temperature_Celsius,Crop_Biomass_Aerial
-28.32,115.3,33.0,34.0,26.7,201.0,20.1,3.21
-28.32,115.3,33.0,34.0,26.7,201.0,20.1,2.89
-28.32,115.3,33.0,34.0,26.7,201.0,20.1,4.43
-28.32,115.3,33.0,34.0,26.7,201.0,20.1,3.9
-28.32,115.3,33.0,34.0,26.7,201.0,20.1,3.64
-28.32,115.3,33.0,34.0,26.7,201.0,20.1,4.31
-28.32,115.3,33.0,34.0,26.7,201.0,20.1,6.72
-28.32,115.3,33.0,34.0,26.7,201.0,20.1,3.75
-28.32,115.3,33.0,34.0,26.7,201.0,20.1,3.88
-35.58,-72.17,60.0,13.0,26.0,681.0,14.1,5.88
-35.58,-72.17,60.0,13.0,26.0,681.0,14.1,6.54
-35.58,-72.17,60.0,13.0,26.0,681.0,14.1,4.24
-35.58,-72.17,60.0,13.0,26.0,681.0,14.1,5.5
-35.58,-72.17,60.0,13.0,26.0,681.0,14.1,11.18
-35.58,-72.17,60.0,13.0,26.0,681.0,14.1,10.86
-35.58,-72.17,60.0,13.0,26.0,681.0,14.1,3.47
-35.58,-72.17,60.0,13.0,26.0,681.0,14.1,3.79
-35.58,-72.17,60.0,13.0,26.0,681.0,14.1,4.33
-35.58,-72.17,60.0,13.0,26.0,681.0,14.1,5.01
50.2,-107.4,27.0,63.0,10.0,351.0,4.0,9.13
50.2,-107.4,27.0,63.0,10.0,351.0,4.0,8.28
50.2,-107.4,27.0,63.0,10.0,351.0,4.0,3.43
50.2,-107.4,27.0,63.0,10.0,351.0,4.0,6.59
50.2,-107.4,27.0,63.0,10.0,351.0,4.0,5.31
50.2,-107.4,27.0,63.0,10.0,351.0,4.0,2.15
50.2,-107.4,27.0,63.0,10.0,351.0,4.0,7.0
50.2,-107.4,27.0,63.0,10.0,351.0,4.0,5.68
50.2,-107.4,27.0,63.0,10.0,351.0,4.0,9.37
50.2,-107.4,27.0,63.0,10.0,351.0,4.0,7.49
50.2,-107.4,27.0,63.0,10.0,351.0,4.0,2.91
50.2,-107.4,27.0,63.0,10.0,351.0,4.0,8.21
50.2,-107.4,27.0,63.0,10.0,351.0,4.0,7.2
50.2,-107.4,27.0,63.0,10.0,351.0,4.0,3.11
50.2,-107.4,27.0,63.0,10.0,351.0,4.0,7.74
50.2,-107.4,27.0,63.0,10.0,351.0,4.0,6.98
50.2,-107.4,27.0,63.0,10.0,351.0,4.0,3.24
50.2,-107.4,27.0,63.0,10.0,351.0,4.0,7.98
50.2,-107.4,27.0,63.0,10.0,351.0,4.0,6.95
50.2,-107.4,27.0,63.0,10.0,351.0,4.0,4.42
50.2,-107.4,27.0,63.0,10.0,351.0,4.0,1.61
50.2,-107.4,27.0,63.0,10.0,351.0,4.0,2.1
50.2,-107.4,27.0,63.0,10.0,351.0,4.0,1.22
50.2,-107.4,27.0,63.0,10.0,351.0,4.0,3.79
50.2,-107.4,27.0,63.0,10.0,351.0,4.0,1.6
50.2,-107.4,27.0,63.0,10.0,351.0,4.0,3.33
50.2,-107.4,27.0,63.0,10.0,351.0,4.0,1.72
50.2,-107.4,27.0,63.0,10.0,351.0,4.0,1.28
50.2,-107.4,27.0,63.0,10.0,351.0,4.0,2.82
50.2,-107.4,27.0,63.0,10.0,351.0,4.0,0.72
50.2,-107.4,27.0,63.0,10.0,351.0,4.0,3.46
50.2,-107.4,27.0,63.0,10.0,351.0,4.0,0.87
46.83,-100.89,27.0,63.0,10.0,480.0,18.0,2.78
46.83,-100.89,27.0,63.0,10.0,480.0,18.0,1.91
46.83,-100.89,27.0,63.0,10.0,480.0,18.0,2.03
46.83,-100.89,27.0,63.0,10.0,480.0,18.0,6.15
46.83,-100.89,27.0,63.0,10.0,480.0,18.0,3.83
46.83,-100.89,27.0,63.0,10.0,480.0,18.0,2.75
46.83,-100.89,27.0,63.0,10.0,480.0,18.0,3.89
47.03,-109.57,20.0,42.0,18.0,357.0,6.9,4.53
47.03,-109.57,20.0,42.0,18.0,357.0,6.9,3.43
47.03,-109.57,20.0,42.0,18.0,357.0,6.9,6.49
47.03,-109.57,20.0,42.0,18.0,357.0,6.9,4.4
47.03,-109.57,20.0,42.0,18.0,357.0,6.9,3.85
47.03,-109.57,20.0,42.0,18.0,357.0,6.9,6.13
47.03,-109.57,20.0,42.0,18.0,357.0,6.9,4.25
47.03,-109.57,20.0,42.0,18.0,357.0,6.9,3.64
47.03,-109.57,20.0,42.0,18.0,357.0,6.9,5.14
47.03,-109.57,20.0,42.0,18.0,357.0,6.9,3.71
47.03,-109.57,20.0,42.0,18.0,357.0,6.9,3.1
47.03,-109.57,20.0,42.0,18.0,357.0,6.9,4.78
47.03,-109.57,20.0,42.0,18.0,357.0,6.9,4.07
47.03,-109.57,20.0,42.0,18.0,357.0,6.9,3.2
47.03,-109.57,20.0,42.0,18.0,357.0,6.9,4.24
47.03,-109.57,20.0,42.0,18.0,357.0,6.9,3.97
47.03,-109.57,20.0,42.0,18.0,357.0,6.9,3.55
47.03,-109.57,20.0,42.0,18.0,357.0,6.9,4.86
47.03,-109.57,20.0,42.0,18.0,357.0,6.9,3.3
47.03,-109.57,20.0,42.0,18.0,357.0,6.9,4.1
47.03,-109.57,20.0,42.0,18.0,357.0,6.9,5.82
47.03,-109.57,20.0,42.0,18.0,357.0,6.9,3.42
47.03,-109.57,20.0,42.0,18.0,357.0,6.9,4.41
47.03,-109.57,20.0,42.0,18.0,357.0,6.9,5.36
47.03,-109.57,20.0,42.0,18.0,357.0,6.9,2.87
47.03,-109.57,20.0,42.0,18.0,357.0,6.9,3.9
47.03,-109.57,20.0,42.0,18.0,357.0,6.9,4.66
47.03,-109.57,20.0,42.0,18.0,357.0,6.9,2.19
47.03,-109.57,20.0,42.0,18.0,357.0,6.9,3.02
47.03,-109.57,20.0,42.0,18.0,357.0,6.9,3.73
47.03,-109.57,20.0,42.0,18.0,357.0,6.9,3.05
47.03,-109.57,20.0,42.0,18.0,357.0,6.9,3.63
47.03,-109.57,20.0,42.0,18.0,357.0,6.9,2.49
47.03,-109.57,20.0,42.0,18.0,357.0,6.9,2.79
47.03,-109.57,20.0,42.0,18.0,357.0,6.9,3.68
45.44,-111.26,9.0,85.0,5.0,349.0,6.0,4.47
45.44,-111.26,9.0,85.0,5.0,349.0,6.0,4.85
45.44,-111.26,9.0,85.0,5.0,349.0,6.0,4.22
45.44,-111.26,9.0,85.0,5.0,349.0,6.0,4.17
45.44,-111.26,9.0,85.0,5.0,349.0,6.0,3.54
45.44,-111.26,9.0,85.0,5.0,349.0,6.0,3.43
45.44,-111.26,9.0,85.0,5.0,349.0,6.0,4.06
